Pgroup,Lp,PKod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
ART._HYGIENIC,,,,,,,,
 ,1.0,6849.0,GILLETTE PIANKA DO GOL MAN,"0,002673797","1,00","0,00",0,
 ,1.0,6847.0,GILLETTE PIANKA DO GOL.MAN,"0,013368984","5,00","0,00",0,
 ,1.0,16138.0,GILLETTE PIANKA DO GOLENIA 200 ML,"0,005347594","2,00","0,00",0,
 ,1.0,16383.0,GILLETTE ZEL  SKORA WRAZLIWA,"0,00802139","3,00","0,00",0,
 ,1.0,15367.0,GILZY GOLDEN 100+15 A^,"0,14973262","56,00","0,00",0,
 ,1.0,10266.0,GLOW 750 ML DO LAZIENEK,"0,002673797","1,00","0,00",0,
 ,1.0,10212.0,GOLARKA GILLETTE 3 1 SZT,"0,010695187","4,00","0,00",0,
 ,1.0,6985.0,GOLARKA WILKINSON XTREME 3,"0,328877005","123,00","0,00",0,
 ,1.0,6712.0,GRA PODROZNA WIEZOWIEC,"0,002673797","1,00","0,00",0,
 ,1.0,1874.0,GUMA ORBIT 5 LIST.,"0,069518717","26,00","0,00",0,
 ,1.0,4227.0,GUMKA DO MAZANIA,"0,002673797","1,00","0,00",0,
 ,1.0,2889.0,HELP  1 L DO NACZYN CYTRYNA,"0,021390374","8,00","0,00",0,
 ,1.0,19199.0,"HELP 0,5 L MIETA DO NACZYN","0,040106952","15,00","0,00",0,
 ,1.0,16018.0,HELP 1 L DO NACZYN MIETA,"0,024064171","9,00","0,00",0,
 ,1.0,17678.0,HELP 1 L UNIWERSALNY,"0,010695187","4,00","0,00",0,
 ,1.0,16731.0,HELP 1 L Z LANOLINA,"0,00802139","3,00","0,00",0,
 ,1.0,9693.0,HELP 1L CZARNY,"0,00802139","3,00","0,00",0,
 ,1.0,7222.0,HELP 300 G WHITE,"0,018716578","7,00","0,00",0,
 ,1.0,8431.0,"HELP KOLOR 1,88 PROSZEK","0,002673797","1,00","0,00",0,
 ,1.0,7017.0,HELP PLYN DO PLUKANIA KONC.1 L,"0,002673797","1,00","0,00",0,
 ,1.0,7373.0,HELP PLYN DO P?UKANIA KWIATOWY 1 L,"0,010695187","4,00","0,00",0,
 ,1.0,8334.0,HELP PLYN DO WC 750 ML,"0,010695187","4,00","0,00",0,
 ,1.0,9948.0,KAPSULKI DO ZMYWARKI FAIRY LEMON 10SZT,"0,005347594","2,00","0,00",0,
 ,1.0,1611.0,KLEJ KROPELKA,"0,082887701","31,00","0,00",0,
 ,1.0,1620.0,KLEJ SUPER GLUE,"0,037433155","14,00","0,00",0,
 ,1.0,4957.0,KLEJ W SZTYFCIE,"0,010695187","4,00","0,00",0,
 ,1.0,6005.0,KOMFORT PLYN DO PRANIA 500 ML,"0,002673797","1,00","0,00",0,
 ,1.0,16430.0,KONTOMIERZ 180,"0,002673797","1,00","0,00",0,
